web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,original_title,budget,original_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,genres,spoken_languages,production_countries
https://www.nytimes.com/2022/12/01/movies/lady-chatterleys-lover-review.html,The new Netflix adaptation of D.H. Lawrence’s once-controversial novel is both steamy and decorous.,The New York Times,"subject: Movies;creative_works: Lady Chatterley's Lover (Movie);persons: Corrin, Emma (1995- );persons: De Clermont-Tonnerre, Laure;persons: Lawrence, D H;",2022-12-01T16:40:55+0000,768,‘Lady Chatterley’s Lover’ Review: When Connie Met Ollie,,,A Love Whose Name Is Often Spoken,,,,By A.O. Scott,,Lady Chatterley’s Lover,Lady Chatterley's Lover,0,en,https://www.netflix.com/title/81476441,Unhappily married aristocrat Lady Chatterley begins a torrid affair — and falls deeply in love — with the gamekeeper on her husband's country estate.,24.655,126,0,2022-11-22,6.654,403,"Drama, Romance",English,"United Kingdom, United States of America"
https://www.nytimes.com/2022/11/23/movies/sound-of-christmas-review.html,A young singer gets more than she bargained for when she accepts a job as a nanny for a billionaire’s children.,The New York Times,"subject: Movies;persons: Ne-Yo;creative_works: The Sound of Christmas (Movie);persons: Mattison, Booker T;persons: McNeill, Serayah;",2022-11-23T15:00:09+0000,277,‘The Sound of Christmas’ Review: A Gospel Singer Finds Love,,,The Sound  Of Christmas,,,,By Concepción de León,,The Sound of Christmas,The Sound of Christmas,0,en,,A woman facing eviction just before Christmas who must navigate budding romantic feelings for a handsome billionaire when she takes a job nannying for his two children right before Christmas.,2.888,0,0,2022-11-24,8.0,4,"TV Movie, Drama",English,United States of America
https://www.nytimes.com/2022/11/17/movies/the-inspection-review-boot-camp-a-love-story.html,"Elegance Bratton’s autobiographical first feature is a lyrical, wrenching look at a young Marine’s journey through basic training.",The New York Times,"subject: Movies;creative_works: The Inspection (Movie);persons: Bratton, Elegance;",2022-11-17T12:00:07+0000,836,"‘The Inspection’ Review: Boot Camp, a Love Story",critic’s pick,,"A Few Good Men, Some With Secrets",,,,By A.O. Scott,,The Inspection,The Inspection,0,en,https://a24films.com/films/inspection,"Ellis French is a young, gay Black man, rejected by his mother and with few options for his future, decides to join the Marines, doing whatever it takes to succeed in a system that would cast him aside. But even as he battles deep-seated prejudice and the grueling routines of basic training, he finds unexpected camaraderie, strength, and support in this new community, giving him a hard-earned sense of belonging that will shape his identity and forever change his life.",6.791,95,270613,2022-11-18,6.183,60,Drama,"Arabic, Spanish, English",United States of America
https://www.nytimes.com/2022/11/17/movies/bones-and-all-review.html,Luca Guadagnino’s latest stars Timothée Chalamet and Taylor Russell as young cannibals on the run.,The New York Times,"subject: Movies;creative_works: Bones and All (Movie);persons: Guadagnino, Luca;persons: Chalamet, Timothee (1995- );persons: Russell, Taylor (1994- );",2022-11-17T12:00:06+0000,710,‘Bones and All’ Review: You Eat What You Are,,,"It’s Eat, Prey, Love on a Journey of Self-Discovery",,,,By A.O. Scott,,Bones and All,Bones and All,16000000,en,https://www.bonesandallfilm.net/,"Abandoned by her father, a young woman embarks on a thousand-mile odyssey through the backroads of America where she meets a disenfranchised drifter. But despite their best efforts, all roads lead back to their terrifying pasts and to a final stand that will determine whether their love can survive their otherness.",20.054,131,15234907,2022-11-18,7.072,1281,"Drama, Horror, Romance",English,"Italy, United States of America"
https://www.nytimes.com/2022/10/20/movies/my-policeman-review.html,"A schoolteacher, her police officer husband and his lover deny each other romantic satisfaction in this dismal melodrama.",The New York Times,"subject: Movies;creative_works: My Policeman (Movie);persons: Grandage, Michael;",2022-10-20T16:52:51+0000,303,"‘My Policeman’ Review: Two Love Affairs, Equally Tragic",,,My Policeman,,,,By Teo Bugbee,,My Policeman,My Policeman,0,en,https://www.amazon.com/dp/B09Y8SHDPD,"In the late 1990s, the arrival of elderly invalid Patrick into Marion and Tom’s home triggers the exploration of seismic events from 40 years previous: the passionate relationship between Tom and Patrick at a time when homosexuality was illegal.",19.274,113,0,2022-10-20,7.7,652,"Drama, Romance",English,"United Kingdom, United States of America"
https://www.nytimes.com/2022/09/08/movies/about-fate-review.html,"Thomas Mann’s beguiling performance drives this Emma Roberts vehicle, but the romantic comedy creaks under the weight of its coincidences.",The New York Times,"subject: Movies;creative_works: About Fate (Movie);persons: Vaysberg, Marius;persons: Mann, Thomas (1991- );persons: Roberts, Emma (1991- );",2022-09-09T01:00:03+0000,289,‘About Fate’ Review: Love the One You’re With?,,,About Fate,,,,By Lisa Kennedy,,About Fate,About Fate,0,en,,"Two strangers believe in love but never seem to be able to find its true meaning. In a wild twist of events, fate puts each in the other's path on one stormy New Year's Eve.",21.938,100,504843,2022-09-08,7.448,374,"Romance, Comedy",English,United States of America
https://www.nytimes.com/2022/09/01/movies/waiting-for-bojangles-review-endless-love.html,"Set in Paris in the 1960s, the film tells the story of two irrepressible lovers, and their young son, whose tale turns tragic.",The New York Times,"subject: Movies;persons: Bourdeaut, Olivier;creative_works: Waiting for Bojangles (Movie);persons: Roinsard, Regis;",2022-09-01T11:00:06+0000,267,‘Waiting for Bojangles’ Review: Endless Love,,,Waiting for Bojangles,,,,By Calum Marsh,,Waiting for Bojangles,En attendant Bojangles,0,fr,,"A boy and his eccentric parents leave their home in Paris for a country house in Spain. As the mother descends deeper into her own mind, it's up to the boy and his father to keep her safe and happy.",12.867,124,0,2021-10-13,7.396,308,"Drama, Comedy, Romance","English, French, Spanish","Belgium, France"
https://www.nytimes.com/2022/08/04/movies/i-love-my-dad-review.html,This comedy is a daddy-issues movie with a queasy premise truly made for these times.,The New York Times,"subject: Movies;persons: Oswalt, Patton;creative_works: I Love My Dad (Movie);persons: Morosini, James;",2022-08-04T11:00:05+0000,418,‘I Love My Dad’ Review: A Father Catfishes His Son,,,A Father Catfishes His Son. We Just Wait for the Ick.,,,,By Glenn Kenny,,I Love My Dad,I Love My Dad,0,en,http://www.magpictures.com/ilovemydad/,A hopelessly estranged father catfishes his son in an attempt to reconnect.,10.067,90,0,2022-08-05,5.8,44,Comedy,English,United States of America
https://www.nytimes.com/2022/07/28/movies/a-love-song-review.html,Two former childhood friends rekindle their connection in this sweetly hopeful story of romantic longing.,The New York Times,"subject: Movies;creative_works: A Love Song (Movie);persons: Walker-Silverman, Max;persons: Dickey, Dale (Actor);persons: STUDI, WES;",2022-07-28T11:00:06+0000,395,‘A Love Song’ Review: When Moving Forward Means Looking Back,Critic’s Pick,,The Romantic Ache That Never Truly Dies,,,,By Jeannette Catsoulis,,A Love Song,A Love Song,0,en,,"Two childhood sweethearts, now both widowed, share a night by a lake in the mountains.",7.274,81,278562,2022-07-29,6.854,41,"Drama, Romance","English, Spanish",United States of America
https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,"Katie Holmes writes, directs and stars in this minor-key rom-com set in 2020.",The New York Times,"subject: Movies;persons: Holmes, Katie;creative_works: Alone Together (Movie);",2022-07-21T15:37:18+0000,254,‘Alone Together’ Review: Finding Love in a Pandemic Retreat,,,Alone Together,,,,By Teo Bugbee,,Alone Together,Alone Together,0,en,,"Strangers June and Charlie wind up double-booked in the same upstate New York Airbnb during the start of COVID-19. Exasperating the situation, the lockdown forces them both to stay and confront the unexpected feelings that develop between them.",9.386,101,0,2022-07-22,5.148,44,"Romance, Drama",English,United States of America
https://www.nytimes.com/2022/07/21/movies/art-of-love-review.html,"A disillusioned college professor develops a relationship with a young Chinese woman, in a familiar and worn-out narrative.",The New York Times,"subject: Movies;creative_works: Art of Love (Movie);persons: Kaplan, Betty (Film Director);",2022-07-21T13:21:43+0000,354,‘Art of Love’ Review: An Erotic Male Fantasy in Puerto Rico,,,Art of Love,,,,By Concepción de León,,Art of Love,Romantik Hırsız,0,tr,https://www.netflix.com/title/81689799,"After learning that the art thief she has been chasing is her ex-lover, an officer working for Interpol concocts a plan to catch him red-handed.",65.026,99,0,2024-03-13,6.425,120,"Romance, Action, Drama",Turkish,Turkey
https://www.nytimes.com/2022/07/21/movies/the-wheel-review.html,"In this marriage drama, a young couple heads to the countryside to break out of a toxic cycle.",The New York Times,"subject: Movies;creative_works: The Wheel (Movie);persons: Pink, Steve;",2022-07-21T11:00:08+0000,287,‘The Wheel’ Review: Songs of Love and Hate,,,The Wheel,,,,By Nicolas Rapold,,The Wheel,The Wheel,0,en,https://www.thewheelmovie.com/,"Sometime in the near future, paraplegic prison inmate Matt Mills meets ""The Board"" of Satoshi-Telefair Industries, who thank him for joining the Program. Under pressure and with a promise to make him walk again, Mills agrees to volunteer. He is injected with a synthetic nanomaterial and suffocated, only to wake up with restored use of his legs, yet alone in a steel cell in the first spoke of an experimental apparatus - The Wheel. A series of assailants inflict a multitude of damage to Mills' body and torment his mind, yet the synthetic nanomaterial not only restores his damaged organs, it re-engineers his strength. The experiment might be designed to kill, but Mills is determined to survive - and get back to his daughter before The Board finds her first.",4.774,82,0,2019-09-02,5.0,13,"Action, Science Fiction",English,Australia
https://www.nytimes.com/2022/07/07/movies/thor-love-and-thunder-review.html,"The director Taika Waititi injects antic silliness, once again, into this Marvel franchise starring Chris Hemsworth, who swings a mighty hammer and flexes mightier muscles.",The New York Times,"subject: Movies;organizations: Marvel Studios;persons: Bale, Christian;persons: Crowe, Russell;persons: Hemsworth, Chris;persons: Waititi, Taika;persons: Thompson, Tessa;persons: Portman, Natalie;",2022-07-07T18:26:10+0000,942,‘Thor: Love and Thunder’ Review: A God’s Comic Twilight,,,"He’s Still a Norse God, But Also a Big Old Goof",,,,By Manohla Dargis,,Thor: Love and Thunder,Thor: Love and Thunder,250000000,en,https://www.marvel.com/movies/thor-love-and-thunder,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",154.591,119,760900000,2022-07-06,6.451,7358,"Fantasy, Action, Comedy",English,United States of America
https://www.nytimes.com/2022/07/07/movies/both-sides-of-the-blade-review.html,"In the latest film from Claire Denis, Juliette Binoche plays a Parisian radio journalist in a romantic quandary.",The New York Times,"subject: Movies;persons: Denis, Claire;persons: Binoche, Juliette;persons: Lindon, Vincent;creative_works: Both Sides of the Blade (Movie);",2022-07-07T11:00:07+0000,649,‘Both Sides of the Blade’ Review: Who Do You Love?,,,A Bliss Doomed To Be Doused,,,,By A.O. Scott,,Both Sides of the Blade,Avec amour et acharnement,0,fr,https://www.bothsidesoftheblade.com/,"Jean and Sara have been living together for 10 years. When they first met, Sara was living with François, Jean’s best friend and an admirer from back when he played rugby. Jean and Sara love each other. One day, Sara sees François in the street. He does not notice her, but she is overtaken by the sensation that her life could suddenly change. François gets back in touch with Jean. For the first time in years. He suggests they start working together again. From here on, things spiral out of control.",10.045,117,1747438,2022-07-08,5.395,86,"Drama, Romance",French,France
https://www.nytimes.com/2022/07/06/movies/fire-of-love-review.html,Sara Dosa’s new documentary chronicles the lives and deaths of the French scientists Katia and Maurice Krafft.,The New York Times,"subject: Documentary Films and Programs;subject: Volcanoes;creative_works: Fire of Love (Movie);subject: Content Type: Personal Profile;subject: Deaths (Fatalities);persons: Dosa, Sara;persons: Krafft, Maurice (1946-91);persons: Krafft, Katia (1942-91);",2022-07-06T11:00:06+0000,609,‘Fire of Love’ Review: A Volcanic Romance,critic’s pick,,A Volcanic Romance Across Continents,,,,By A.O. Scott,,Fire of Love,Fire of Love,0,en,https://films.nationalgeographic.com/fire-of-love,"A doomed love triangle between intrepid French scientists Katia and Maurice Krafft, and their beloved volcanoes.",10.636,93,0,2022-07-06,7.5,189,Documentary,"French, English, Portuguese, Spanish","Canada, United States of America"
